               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.03225,             0.01372,           0.0089034,             0.62132,             0.49165,             0.44128,             0.30367,            0.035893,            0.012833,            0.013145,            0.006436,            0.006436,            0.006436
                  38,            0.031866,            0.013985,           0.0092854,             0.78424,             0.43756,             0.45529,             0.33231,            0.032334,            0.012771,            0.012519,            0.006337,            0.006337,            0.006337
                  39,            0.031672,             0.01425,           0.0093342,             0.69009,             0.48409,             0.48022,             0.34087,            0.034306,            0.013574,             0.01219,            0.006238,            0.006238,            0.006238
                  40,            0.032354,            0.013983,           0.0093451,              0.8128,             0.44065,             0.49825,             0.34629,            0.033714,            0.013273,            0.011922,            0.006139,            0.006139,            0.006139
                  41,            0.031578,            0.013758,           0.0099335,             0.84311,             0.46938,             0.52345,             0.36351,            0.034504,            0.012949,            0.010527,             0.00604,             0.00604,             0.00604
                  42,            0.030823,            0.012891,           0.0081449,             0.85867,             0.42218,             0.53233,             0.35925,            0.033875,            0.012312,            0.011038,            0.005941,            0.005941,            0.005941
                  43,            0.030792,             0.01339,           0.0087072,             0.84316,             0.48528,             0.53544,             0.34791,            0.033974,            0.012458,            0.011115,            0.005842,            0.005842,            0.005842
                  44,            0.030451,            0.012725,           0.0085184,             0.76084,             0.47797,             0.53298,             0.34316,             0.03551,            0.012357,            0.010448,            0.005743,            0.005743,            0.005743
                  45,            0.030443,            0.012949,           0.0080993,              0.8934,             0.45882,             0.53906,             0.36343,             0.03391,            0.013654,            0.010143,            0.005644,            0.005644,            0.005644
                  46,            0.028939,            0.012857,           0.0073599,             0.81932,             0.44065,             0.49941,             0.35567,             0.03395,            0.012623,            0.010719,            0.005545,            0.005545,            0.005545
                  47,            0.029975,            0.013047,            0.007154,             0.82102,             0.48219,             0.53814,             0.36784,            0.032312,            0.012681,            0.010995,            0.005446,            0.005446,            0.005446
                  48,            0.029212,            0.012986,           0.0072589,             0.83716,             0.45252,             0.51288,             0.36165,            0.033484,            0.012666,            0.010545,            0.005347,            0.005347,            0.005347
                  49,            0.029273,            0.012591,           0.0068499,             0.81779,             0.46296,             0.52045,             0.36667,            0.032826,            0.012549,            0.010528,            0.005248,            0.005248,            0.005248
                  50,            0.027838,            0.012199,           0.0066832,             0.82077,             0.48528,             0.52241,             0.34222,            0.031202,            0.012571,            0.010619,            0.005149,            0.005149,            0.005149
                  51,            0.028204,             0.01178,           0.0060457,             0.70682,             0.55162,             0.50818,             0.34058,            0.032634,            0.012729,            0.011332,             0.00505,             0.00505,             0.00505
                  52,            0.028653,            0.012022,           0.0071363,              0.8201,             0.42611,             0.50799,             0.34458,            0.031497,            0.012877,            0.011994,            0.004951,            0.004951,            0.004951
                  53,            0.027889,            0.012459,           0.0059106,             0.77763,             0.53445,             0.54301,             0.36134,            0.032465,            0.012683,            0.011037,            0.004852,            0.004852,            0.004852
                  54,             0.02767,            0.012664,           0.0057243,             0.79355,             0.49261,             0.53605,             0.37324,             0.03244,            0.012356,            0.011765,            0.004753,            0.004753,            0.004753
                  55,            0.027848,            0.012314,           0.0057061,             0.87886,             0.44236,             0.51469,             0.34781,            0.033429,            0.012559,           0.0094048,            0.004654,            0.004654,            0.004654
                  56,            0.027765,            0.012306,           0.0054091,             0.85516,             0.47306,             0.52635,             0.38721,            0.032265,            0.012788,           0.0098797,            0.004555,            0.004555,            0.004555
                  57,            0.027121,            0.012758,           0.0054987,             0.83911,             0.43756,             0.51994,             0.35731,            0.032864,            0.012491,            0.010622,            0.004456,            0.004456,            0.004456
                  58,             0.02725,            0.012098,           0.0057373,             0.85737,             0.46787,             0.55648,             0.37498,            0.032113,            0.012628,            0.011295,            0.004357,            0.004357,            0.004357
                  59,            0.026711,            0.012412,           0.0057539,             0.84369,             0.54046,             0.55371,              0.3839,            0.031514,            0.013497,            0.011132,            0.004258,            0.004258,            0.004258
                  60,             0.02759,            0.012302,           0.0056865,              0.8453,             0.46296,             0.51917,             0.36512,            0.031424,            0.012812,             0.01119,            0.004159,            0.004159,            0.004159
                  61,            0.026194,            0.011938,           0.0052402,              0.8075,             0.51757,             0.55542,             0.37787,            0.032543,            0.012617,            0.010847,             0.00406,             0.00406,             0.00406
                  62,            0.026447,            0.011882,           0.0056678,             0.76084,             0.45702,             0.54262,             0.39314,            0.031423,            0.011904,            0.011988,            0.003961,            0.003961,            0.003961
                  63,            0.026371,            0.012907,           0.0049215,             0.84163,             0.52005,             0.55139,             0.39631,             0.03094,            0.011859,            0.010685,            0.003862,            0.003862,            0.003862
                  64,            0.026143,            0.011075,           0.0048345,             0.80015,             0.49834,             0.51668,              0.3921,            0.032217,             0.01203,             0.01147,            0.003763,            0.003763,            0.003763
                  65,            0.026198,            0.011594,           0.0049301,              0.8425,             0.54297,             0.58774,             0.40877,            0.030165,            0.012026,            0.010605,            0.003664,            0.003664,            0.003664
                  66,            0.025334,            0.011566,           0.0044914,              0.9222,             0.46165,             0.55797,             0.39086,            0.031856,            0.012938,            0.010411,            0.003565,            0.003565,            0.003565
                  67,            0.025891,            0.011974,           0.0043935,             0.88205,              0.5063,             0.57677,             0.39183,            0.030847,            0.012555,            0.010674,            0.003466,            0.003466,            0.003466
                  68,            0.025306,             0.01199,           0.0053753,             0.82107,             0.54134,             0.57484,             0.39403,            0.030613,            0.012567,            0.011461,            0.003367,            0.003367,            0.003367
                  69,            0.024648,            0.010874,           0.0047001,              0.8686,             0.47293,             0.57377,             0.41115,            0.030731,            0.012837,              0.0114,            0.003268,            0.003268,            0.003268
                  70,            0.024995,            0.011083,           0.0051016,             0.88931,             0.45679,             0.56516,             0.40043,            0.030355,            0.012357,            0.010503,            0.003169,            0.003169,            0.003169
                  71,            0.024548,            0.011598,           0.0045639,             0.88553,             0.50142,             0.60005,             0.42626,             0.03031,            0.012228,            0.010624,             0.00307,             0.00307,             0.00307
                  72,            0.024511,            0.011718,           0.0045898,             0.82198,             0.52772,             0.58371,             0.42341,            0.030251,            0.012073,            0.011401,            0.002971,            0.002971,            0.002971
                  73,            0.023054,            0.011066,            0.004545,             0.83448,             0.49337,             0.57744,             0.41215,            0.030041,             0.01214,            0.011518,            0.002872,            0.002872,            0.002872
                  74,            0.023989,            0.011427,           0.0041528,             0.81523,             0.48849,             0.57491,             0.42086,            0.029675,            0.012129,             0.01206,            0.002773,            0.002773,            0.002773
                  75,            0.023395,            0.011458,           0.0042644,             0.76186,             0.59038,             0.57553,             0.40823,            0.030123,            0.012136,            0.012247,            0.002674,            0.002674,            0.002674
                  76,            0.023378,            0.011081,           0.0037316,             0.83116,             0.51325,             0.56846,             0.41593,            0.029933,            0.012255,            0.011696,            0.002575,            0.002575,            0.002575
                  77,            0.023775,            0.011115,           0.0037801,             0.82917,             0.54402,              0.5709,             0.41929,            0.031079,            0.012489,             0.01099,            0.002476,            0.002476,            0.002476
                  78,            0.023048,            0.011018,           0.0042068,             0.81649,             0.54312,             0.57931,             0.41017,            0.031122,            0.012651,            0.010147,            0.002377,            0.002377,            0.002377
                  79,            0.022698,            0.010848,            0.003594,             0.84478,             0.53989,             0.59224,             0.41351,            0.030748,            0.012249,            0.011224,            0.002278,            0.002278,            0.002278
                  80,            0.022065,            0.010805,           0.0040187,             0.83606,             0.54957,             0.58281,              0.4303,            0.030483,            0.012354,            0.011603,            0.002179,            0.002179,            0.002179
                  81,            0.022051,            0.010375,           0.0037367,             0.82095,             0.52066,             0.54533,             0.40287,            0.030977,            0.012059,            0.011122,             0.00208,             0.00208,             0.00208
