               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.029464,            0.012163,           0.0078974,             0.79374,              0.4563,             0.47775,             0.29878,            0.032208,            0.012668,            0.012041,            0.006436,            0.006436,            0.006436
                  38,            0.029132,            0.012563,            0.007537,              0.9458,              0.4067,             0.50499,             0.35013,            0.034104,            0.013163,            0.011414,            0.006337,            0.006337,            0.006337
                  39,              0.0293,            0.012785,           0.0072523,             0.81268,             0.44003,             0.50277,             0.35168,            0.034346,            0.012782,            0.011274,            0.006238,            0.006238,            0.006238
                  40,            0.030015,            0.012567,           0.0070429,             0.80535,             0.47661,             0.54675,             0.38969,            0.034472,            0.012216,            0.010411,            0.006139,            0.006139,            0.006139
                  41,            0.028295,            0.012208,            0.006714,             0.77837,               0.566,             0.57754,             0.39831,             0.03371,            0.012389,            0.010156,             0.00604,             0.00604,             0.00604
                  42,            0.028118,            0.011613,           0.0059091,             0.77411,             0.52176,             0.52917,             0.33528,            0.032288,            0.012275,             0.01135,            0.005941,            0.005941,            0.005941
                  43,            0.029072,             0.01294,           0.0057635,             0.94437,             0.44753,             0.54085,             0.35143,            0.033198,             0.01281,            0.011058,            0.005842,            0.005842,            0.005842
                  44,            0.028649,            0.012296,           0.0057138,               0.787,             0.51448,              0.5302,             0.35738,            0.034145,            0.013566,            0.011398,            0.005743,            0.005743,            0.005743
                  45,            0.028273,            0.011869,           0.0058689,             0.87106,             0.50339,             0.57168,             0.36908,            0.031588,             0.01306,            0.011175,            0.005644,            0.005644,            0.005644
                  46,            0.026917,            0.012123,           0.0053779,             0.79547,              0.5368,             0.56092,             0.36866,            0.032499,            0.012958,            0.011828,            0.005545,            0.005545,            0.005545
                  47,            0.028064,            0.012352,           0.0050481,             0.85274,             0.54962,             0.57361,             0.37308,            0.031673,            0.012871,            0.010949,            0.005446,            0.005446,            0.005446
                  48,            0.027448,            0.011643,           0.0059933,             0.84936,             0.54677,             0.55381,             0.35382,            0.032752,            0.013031,            0.011025,            0.005347,            0.005347,            0.005347
                  49,            0.026601,            0.011524,           0.0052627,             0.79816,             0.57526,             0.55537,             0.37944,            0.034376,            0.013319,            0.010824,            0.005248,            0.005248,            0.005248
                  50,            0.026404,            0.011996,           0.0049556,              0.8133,             0.49317,             0.56095,             0.36656,            0.031695,            0.012816,            0.010512,            0.005149,            0.005149,            0.005149
                  51,            0.024688,            0.011248,           0.0043429,              0.8203,             0.55797,             0.57404,             0.37537,            0.033149,             0.01339,             0.01058,             0.00505,             0.00505,             0.00505
                  52,            0.025724,            0.011026,           0.0051118,             0.87621,             0.50421,             0.60498,             0.40134,            0.031574,            0.012573,             0.01054,            0.004951,            0.004951,            0.004951
                  53,            0.024676,            0.011084,           0.0052834,             0.88489,              0.5425,             0.59227,             0.39066,            0.031417,            0.012837,            0.010014,            0.004852,            0.004852,            0.004852
                  54,            0.025064,            0.010917,           0.0050615,             0.85211,             0.53371,             0.57032,             0.38231,            0.032905,            0.013439,            0.011648,            0.004753,            0.004753,            0.004753
                  55,             0.02567,            0.012168,           0.0047883,             0.82416,             0.60285,             0.59891,             0.42834,            0.030494,            0.012892,           0.0097292,            0.004654,            0.004654,            0.004654
                  56,            0.024928,            0.011013,           0.0047293,             0.85478,             0.54865,             0.59937,             0.42722,            0.031048,            0.011698,           0.0097372,            0.004555,            0.004555,            0.004555
                  57,            0.023901,            0.010431,           0.0042877,             0.84913,              0.5309,             0.59467,              0.4154,              0.0307,            0.012335,            0.010497,            0.004456,            0.004456,            0.004456
                  58,            0.024261,             0.01078,           0.0046388,              0.8689,              0.5316,             0.60387,             0.41261,            0.030444,            0.012505,            0.010427,            0.004357,            0.004357,            0.004357
                  59,            0.023787,            0.011232,           0.0042823,             0.82801,              0.5622,             0.59375,             0.40566,            0.030233,            0.012593,            0.011693,            0.004258,            0.004258,            0.004258
                  60,            0.024158,            0.011102,           0.0048865,             0.84596,             0.55405,             0.61228,             0.41939,            0.029735,             0.01282,             0.01057,            0.004159,            0.004159,            0.004159
                  61,            0.024063,            0.011076,           0.0044147,             0.79199,             0.58858,             0.59955,             0.42105,            0.030578,            0.013071,            0.010299,             0.00406,             0.00406,             0.00406
                  62,            0.023196,            0.010675,           0.0040595,             0.80403,               0.602,             0.59533,             0.41115,            0.031416,            0.012806,            0.011212,            0.003961,            0.003961,            0.003961
                  63,            0.023337,            0.010016,           0.0039579,             0.82767,             0.53835,             0.58398,              0.4072,            0.031897,            0.012631,            0.011535,            0.003862,            0.003862,            0.003862
                  64,            0.023238,            0.010302,           0.0038836,             0.83242,             0.52066,             0.56741,             0.40678,            0.031763,            0.012831,            0.011084,            0.003763,            0.003763,            0.003763
                  65,            0.022029,            0.010215,            0.003848,             0.80464,             0.56394,              0.5853,             0.42562,            0.030725,            0.012274,            0.011026,            0.003664,            0.003664,            0.003664
                  66,            0.021803,           0.0099943,           0.0038517,             0.88193,             0.54297,             0.59569,             0.41689,            0.031882,            0.012034,            0.010689,            0.003565,            0.003565,            0.003565
                  67,            0.022425,            0.010041,           0.0037511,             0.86206,              0.5368,             0.61443,             0.43404,            0.031115,            0.012661,             0.01145,            0.003466,            0.003466,            0.003466
                  68,            0.022358,             0.01047,           0.0033169,             0.79561,             0.55523,             0.56562,             0.42634,             0.03134,            0.013013,            0.011604,            0.003367,            0.003367,            0.003367
                  69,            0.021991,            0.010056,           0.0039918,             0.82467,             0.54824,             0.58008,             0.40956,            0.032364,             0.01304,            0.011401,            0.003268,            0.003268,            0.003268
                  70,            0.021805,            0.010225,           0.0038568,             0.87885,             0.50142,              0.5771,             0.42603,            0.030343,            0.013097,            0.010104,            0.003169,            0.003169,            0.003169
                  71,            0.022125,            0.010063,           0.0037543,              0.8666,             0.52066,             0.55814,             0.41564,            0.030568,            0.013132,            0.011016,             0.00307,             0.00307,             0.00307
                  72,            0.021827,             0.01007,           0.0033089,             0.84003,             0.52754,             0.56674,             0.41131,            0.030395,            0.013135,            0.012017,            0.002971,            0.002971,            0.002971
                  73,            0.021032,           0.0098317,           0.0033571,             0.88929,             0.53731,             0.59132,             0.42411,            0.030642,             0.01298,            0.011395,            0.002872,            0.002872,            0.002872
                  74,            0.020502,           0.0095776,           0.0037193,             0.78722,             0.57601,             0.59184,             0.43131,            0.030524,            0.013234,            0.010934,            0.002773,            0.002773,            0.002773
                  75,            0.020254,            0.010053,           0.0032879,             0.85698,             0.55615,             0.59003,             0.43183,            0.030413,            0.012383,            0.011055,            0.002674,            0.002674,            0.002674
                  76,            0.020789,           0.0095741,            0.003118,             0.86927,              0.5293,             0.57636,             0.42323,            0.029978,            0.012635,            0.012108,            0.002575,            0.002575,            0.002575
                  77,            0.020701,           0.0097988,           0.0033001,             0.77032,             0.55781,             0.56178,             0.39773,            0.029849,            0.012891,            0.012469,            0.002476,            0.002476,            0.002476
                  78,            0.019579,           0.0093276,            0.003867,             0.82562,             0.56929,              0.5853,             0.42024,            0.030362,            0.012687,            0.011786,            0.002377,            0.002377,            0.002377
                  79,            0.020721,           0.0096129,           0.0033017,             0.81375,             0.56529,             0.58365,             0.40869,            0.029963,            0.012512,             0.01106,            0.002278,            0.002278,            0.002278
